2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=tori_vixen.mp4, video_duration=2070.7s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 20:45:31 | INFO     | app | Candidates generated: video=Vanessa-Sky-tushy.mp4, video_duration=2656.3s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 22:50:37 | INFO     | app | Candidates generated: video=Hazel-Moore.mp4, video_duration=2963.6s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 22:50:37 | INFO     | app | Candidates generated: video=Hazel-Moore.mp4, video_duration=2963.6s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 22:50:37 | INFO     | app | Candidates generated: video=Hazel-Moore.mp4, video_duration=2963.6s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 22:50:37 | INFO     | app | Candidates generated: video=Hazel-Moore.mp4, video_duration=2963.6s, intro_skip=30.0s, valid_start=30.0s, candidates=100
2026-08-24 22:50:37 | INFO     | app | Candidates generated: video=Hazel-Moore.mp4, video_duration=2963.6s, intro_skip=30.0s, valid_start=30.0s, candidates=100
